elevators_num_fixes,escalators_availability,escalators_num_fixes,elevators_num_inspections,elevators_num_breaks,escalators_num_inspections,elevators_num_units,escalators_num_units,escalators_num_breaks,elevators_broken_time_percentage,elevators_availability,day,escalators_broken_time_percentage
0,0.934766224909,32,0,0,1,0,588,59,0.0,1.0,"2013-06-01",0.0361731740876
0,0.920017857087,73,0,0,35,0,588,61,0.0,1.0,"2013-06-02",0.0499311864746
0,0.935932079828,71,0,0,46,0,588,71,0.0,1.0,"2013-06-03",0.032025194161
0,0.935347789862,59,0,0,63,0,588,58,0.0,1.0,"2013-06-04",0.027605917522
0,0.936133191237,62,0,0,42,0,588,66,0.0,1.0,"2013-06-05",0.0310487593985
0,0.930543794158,66,0,0,59,0,588,63,0.0,1.0,"2013-06-06",0.0329421695857
0,0.929925056367,72,0,0,15,0,588,78,0.0,1.0,"2013-06-07",0.0414244568345
0,0.940829401124,37,0,0,2,0,588,39,0.0,1.0,"2013-06-08",0.031331575137
0,0.930730770781,32,0,0,31,0,588,29,0.0,1.0,"2013-06-09",0.0377952919501
0,0.927593898611,90,0,0,41,0,588,86,0.0,1.0,"2013-06-10",0.0405701793422
0,0.934618170153,88,0,0,52,0,588,86,0.0,1.0,"2013-06-11",0.0334421063074
0,0.936504719363,76,0,0,52,0,588,82,0.0,1.0,"2013-06-12",0.03288549362
0,0.935209140212,89,0,0,57,0,588,85,0.0,1.0,"2013-06-13",0.0309518103791
0,0.936519178477,77,0,0,20,0,588,80,0.0,1.0,"2013-06-14",0.0334922192589
0,0.938166251417,62,0,0,1,0,588,63,0.0,1.0,"2013-06-15",0.0329221839569
0,0.940965715731,52,0,0,29,0,588,44,0.0,1.0,"2013-06-16",0.0288679377862
0,0.933225121459,73,0,0,55,0,588,74,0.0,1.0,"2013-06-17",0.0301224443798
0,0.941150771547,63,0,0,63,0,588,66,0.0,1.0,"2013-06-18",0.0247990327257
0,0.937065842011,75,0,0,66,0,588,77,0.0,1.0,"2013-06-19",0.0308243105532
0,0.930614181784,64,0,0,69,0,588,63,0.0,1.0,"2013-06-20",0.0341523497235
0,0.930056542251,77,0,0,25,0,588,89,0.0,1.0,"2013-06-21",0.0354387514172
0,0.914965986395,0,0,0,2,0,588,0,0.0,1.0,"2013-06-22",0.0493197278912
0,0.917368908063,23,0,0,36,0,588,16,0.0,1.0,"2013-06-23",0.0474471002568
0,0.917279742586,69,0,0,61,0,588,72,0.0,1.0,"2013-06-24",0.0509848315481
0,0.917594045008,86,0,0,79,0,588,89,0.0,1.0,"2013-06-25",0.0455784361947
0,0.909472402136,86,0,0,79,0,588,85,0.0,1.0,"2013-06-26",0.0527280608018
0,0.906293629461,86,0,0,70,0,588,83,0.0,1.0,"2013-06-27",0.0572753920018
0,0.922976776781,113,0,0,27,0,588,106,0.0,1.0,"2013-06-28",0.0441709364049
0,0.914510480537,75,0,0,4,0,588,78,0.0,1.0,"2013-06-29",0.0508911219057
0,0.919779026666,67,0,0,83,0,588,70,0.0,1.0,"2013-06-30",0.0460910151283
0,0.916495742581,81,0,0,129,0,588,84,0.0,1.0,"2013-07-01",0.0471343262422
0,0.927841668531,73,0,0,85,0,588,62,0.0,1.0,"2013-07-02",0.0320266314845
0,0.923567079057,115,0,0,51,0,588,110,0.0,1.0,"2013-07-03",0.0396948737419
0,0.950852114488,72,0,0,35,0,588,71,0.0,1.0,"2013-07-04",0.0205134774685
0,0.95100937412,74,0,0,11,0,588,76,0.0,1.0,"2013-07-05",0.0221952533412
0,0.950234396046,72,0,0,2,0,588,74,0.0,1.0,"2013-07-06",0.0234287400085
0,0.939699422241,72,0,0,41,0,588,68,0.0,1.0,"2013-07-07",0.0320822704082
0,0.944392131843,69,0,0,67,0,588,79,0.0,1.0,"2013-07-08",0.026201311861
0,0.936113760517,81,0,0,68,0,588,79,0.0,1.0,"2013-07-09",0.0297521175956
0,0.942627033432,83,0,0,68,0,588,78,0.0,1.0,"2013-07-10",0.0252650493794
0,0.943421129013,76,0,0,62,0,588,75,0.0,1.0,"2013-07-11",0.0224714951814
0,0.939668452639,79,0,0,29,0,588,83,0.0,1.0,"2013-07-12",0.0292941718632
0,0.936609623323,61,0,0,4,0,588,61,0.0,1.0,"2013-07-13",0.0361602760771
0,0.930921023354,58,0,0,42,0,588,62,0.0,1.0,"2013-07-14",0.0386196764261
0,0.914893702809,83,0,0,59,0,588,95,0.0,1.0,"2013-07-15",0.0517919861409
0,0.917484040931,82,0,0,63,0,588,70,0.0,1.0,"2013-07-16",0.0474785707573
0,0.93065580392,86,0,0,44,0,588,85,0.0,1.0,"2013-07-17",0.0345047200093
0,0.925919808226,96,0,0,47,0,588,96,0.0,1.0,"2013-07-18",0.0316652276773
0,0.924716150042,102,0,0,18,0,588,99,0.0,1.0,"2013-07-19",0.0340789059172
0,0.925609735946,69,0,0,2,0,588,75,0.0,1.0,"2013-07-20",0.0402755813964
0,0.92277778781,63,0,0,29,0,588,68,0.0,1.0,"2013-07-21",0.0430098176493
0,0.920206981964,78,0,0,45,0,588,76,0.0,1.0,"2013-07-22",0.0394490198214
0,0.928643855373,91,0,0,60,0,588,85,0.0,1.0,"2013-07-23",0.0358022130972
0,0.937943496116,68,0,0,56,0,588,66,0.0,1.0,"2013-07-24",0.03005977829
0,0.930474803924,70,0,0,51,0,588,71,0.0,1.0,"2013-07-25",0.0327203322294
0,0.937973581993,68,0,0,14,0,588,69,0.0,1.0,"2013-07-26",0.033634484492
0,0.93408631798,71,0,0,3,0,588,71,0.0,1.0,"2013-07-27",0.0366271252362
